date,net,to,pairs,fill,bp
20260625,-27337.030963199963,21053410.731,226,0.9696127478228646,-12.984609150738544
20260626,-31609.4358414001,20955253.601999998,221,0.974388412964762,-15.08425354412473
20260629,-24276.671422200016,20574097.651,221,0.9603780718336484,-11.799628753594476
20260630,-29979.934685399967,21467453.002,226,0.9776068376068376,-13.965296527076084
20260701,-28464.19506599998,21620919.849999998,230,0.9718058396875581,-13.165117517421434
20260702,-26576.314615199968,21626874.941,229,0.9787966148981679,-12.288559807046775
20260703,-30900.83830829984,22287920.959,233,0.978288417673397,-13.864387963840967
20260706,-26723.911404600003,20525394.152999997,217,0.9826018654884634,-13.019926051307536
20260707,-30515.20278780003,21637825.849000003,226,0.9796576754189443,-14.10271207502592
20260708,-30362.348301000042,19798195.405,214,0.9659728819414457,-15.335917077236283
20260709,-33202.03744470008,21237609.336000003,225,0.9634776411900944,-15.633604008535508
20260710,-27559.714831799974,20950582.119,224,0.976730543605788,-13.154629630460807
20260713,-32376.307622400054,21038980.547000006,222,0.9681442131847078,-15.388724539229951
20260714,-29489.83818389999,20546656.467,224,0.9600861225288706,-14.352621425906273
