date,net,to,pairs,fill,bp
20260625,-25461.75660179997,20296917.019,220,0.959220212669272,-12.544642409467976
20260626,-26088.647517599926,20477811.067999996,223,0.9587401793141695,-12.739959085943418
20260629,-30681.693711600066,19366483.952999994,213,0.9597625797306875,-15.842676340248781
20260630,-29813.49713190012,20567151.082000002,224,0.9488376188798873,-14.495686355896103
20260701,-25256.665086000015,21324987.045,225,0.9692180464945328,-11.843695394845204
20260702,-21463.601761199978,21622857.386,231,0.9796754235674853,-9.92634848301634
20260703,-29067.301888500027,21267056.42,229,0.960454390160574,-13.667759803921196
20260706,-31670.07898199999,21467052.965000004,231,0.9764572028706459,-14.752876901005022
20260707,-28368.956516100036,20324263.283,222,0.9492491405825946,-13.958172122198855
20260708,-30205.956536099977,20242791.178000003,220,0.9531072410632447,-14.921833787885934
20260709,-31704.41252820003,20379289.710999995,219,0.9538407942867096,-15.557172491191952
20260710,-22254.38870280003,19809525.694,218,0.9446907112633488,-11.234185536072953
20260713,-31681.068435900015,20127499.497,222,0.9424692322719281,-15.740190896848398
20260714,-30614.306164499994,20093303.54,219,0.9431793537193668,-15.236074099789365
